Fixed time simulation start ######################################
hazard_threshold_val;vol_cntr1_val;vol_cntr_pa_val;framework_pa_val;data_save_pa_val;time;shtdwn_counter;clk_counter;trace_rom_addr;
3270;1000;9003;3113;2052;593935 ns;75;13291;1144;
3280;1000;9092;3175;2109;599735 ns;76;13479;1217;
3290;1000;9092;3175;2109;599735 ns;76;13479;1217;
3300;1000;9047;3175;2109;599285 ns;76;13434;1211;
3310;1000;9119;3175;2109;600095 ns;76;13515;1221;
3320;1000;9199;3207;2143;601435 ns;76;13649;1238;
3330;1000;9230;3351;2279;606685 ns;77;13878;1303;
3340;1000;9323;3436;2330;665385 ns;80;14100;467;
3350;1000;9365;3630;2484;678115 ns;83;14413;626;
3360;1000;9310;3680;2529;678115 ns;83;14413;626;
3370;1000;9255;3725;2569;678115 ns;83;14413;626;
3380;1000;9255;3725;2569;678115 ns;83;14413;626;
3390;1000;9255;3725;2569;678115 ns;83;14413;626;
3400;1000;9279;3862;2691;683085 ns;84;14630;688;
3410;1000;9215;3958;2793;683765 ns;84;14698;697;
3420;1000;9165;3993;2823;683765 ns;84;14698;697;
3430;1000;9138;4170;2989;686195 ns;85;14893;727;
3440;1000;9113;4368;3167;688715 ns;86;15089;759;
3450;1000;9113;4368;3167;688715 ns;86;15089;759;
3460;1000;9113;4368;3167;688715 ns;86;15089;759;
3470;1000;9113;4368;3167;688715 ns;86;15089;759;
3480;1000;8981;4482;3269;688715 ns;86;15089;759;
3490;1000;9122;4590;3369;691975 ns;87;15407;800;
3500;1000;9122;4590;3369;691975 ns;87;15407;800;
3510;1000;9119;4696;3471;693505 ns;88;15552;819;
3520;1000;9189;5004;3745;718745 ns;91;16020;1134;
3530;1000;9243;5004;3745;719285 ns;91;16074;1141;
3540;1000;9285;5004;3745;719825 ns;91;16128;1148;
3550;1000;9285;5004;3745;719825 ns;91;16128;1148;
3560;1000;9285;5004;3745;719825 ns;91;16128;1148;
3570;1000;9315;5212;3947;726875 ns;92;16441;1236;
3580;1000;9519;5638;4288;803895 ns;99;17239;629;
3590;1000;9519;5638;4288;803895 ns;99;17239;629;
3600;1000;9543;5650;4312;804435 ns;99;17293;635;
3610;1000;9543;5650;4312;804435 ns;99;17293;635;
3620;1000;9543;5650;4312;804435 ns;99;17293;635;
3630;1000;9588;5836;4474;810715 ns;101;17593;714;
3640;1000;9588;5836;4474;810715 ns;101;17593;714;
3650;1000;9564;5932;4576;811795 ns;101;17701;727;
3660;1000;9595;5948;4605;812505 ns;101;17772;736;
3670;1000;9595;5948;4605;812505 ns;101;17772;736;
3680;1000;9595;5948;4605;812505 ns;101;17772;736;
3690;1000;9556;6064;4721;814495 ns;102;17915;761;
3700;1000;9556;6064;4721;814495 ns;102;17915;761;
3710;1000;9607;6320;4976;818605 ns;103;18318;812;
3720;1000;9596;6397;5030;819555 ns;104;18405;824;
3730;1000;9623;6953;5566;851855 ns;108;19187;1228;
3740;1000;9689;7401;5949;924065 ns;114;19872;561;
3750;1000;9684;7545;6072;929475 ns;115;20045;628;
3760;1000;9662;7712;6231;934355 ns;116;20253;689;
3770;1000;9662;7712;6231;934355 ns;116;20253;689;
3780;1000;9717;7819;6316;936945 ns;117;20464;722;
3790;1000;9717;7867;6380;937665 ns;117;20536;731;
3800;1000;9681;8036;6541;940185 ns;118;20732;762;
3810;1000;9681;8036;6541;940185 ns;118;20732;762;
3820;1000;9763;8291;6789;944705 ns;120;21168;819;
3830;1000;9763;8291;6789;944705 ns;120;21168;819;
3840;1000;9822;8307;6806;945585 ns;120;21256;830;
3850;1000;9908;8458;6917;969055 ns;123;21547;1123;
3860;1000;9984;8490;6951;970255 ns;123;21667;1138;
3870;1000;9984;8490;6951;970255 ns;123;21667;1138;
3880;1000;10008;8514;6967;970975 ns;123;21739;1147;
3890;1000;10008;8514;6967;970975 ns;123;21739;1147;
3900;1000;10008;8514;6967;970975 ns;123;21739;1147;
3910;1000;10008;8514;6967;970975 ns;123;21739;1147;
3920;1000;10008;8514;6967;970975 ns;123;21739;1147;
3930;1000;10008;8514;6967;970975 ns;123;21739;1147;
3940;1000;10005;8666;7123;976845 ns;124;21934;1220;
3950;1000;10000;8682;7140;977015 ns;124;21951;1223;
3960;1000;9989;8834;7296;978665 ns;124;22116;1243;
3970;1000;10050;9596;7960;1062095 ns;133;23227;716;
3980;1000;10050;9596;7960;1062095 ns;133;23227;716;
3990;1000;10050;9596;7960;1062095 ns;133;23227;716;
4000;1000;10022;9772;8130;1064795 ns;134;23441;750;
4010;1000;10022;9772;8130;1064795 ns;134;23441;750;
4020;1000;10094;10161;8506;1071005 ns;136;24046;827;
4030;1000;10125;10352;8649;1094655 ns;139;24355;1123;
4040;1000;10089;10597;8891;1101595 ns;140;24657;1210;
4050;1000;10271;10915;9171;1167425 ns;144;25296;463;
4060;1000;10271;10915;9171;1167425 ns;144;25296;463;
4070;1000;10271;10915;9171;1167425 ns;144;25296;463;
4080;1000;10271;10915;9171;1167425 ns;144;25296;463;
4090;1000;10271;10915;9171;1167425 ns;144;25296;463;
4100;1000;10357;11375;9572;1187515 ns;149;26017;714;
4110;1000;10357;11375;9572;1187515 ns;149;26017;714;
4120;1000;10357;11375;9572;1187515 ns;149;26017;714;
4130;1000;10357;11375;9572;1187515 ns;149;26017;714;
4140;1000;10357;11375;9572;1187515 ns;149;26017;714;
4150;1000;10357;11375;9572;1187515 ns;149;26017;714;
4160;1000;10441;11391;9589;1188575 ns;149;26123;727;
4170;1000;10441;11391;9589;1188575 ns;149;26123;727;
4180;1000;10441;11391;9589;1188575 ns;149;26123;727;
4190;1000;10441;11391;9589;1188575 ns;149;26123;727;
4200;1000;10463;11725;9890;1193745 ns;151;26576;792;
4210;1000;10463;11725;9890;1193745 ns;151;26576;792;
4220;1000;10463;11725;9890;1193745 ns;151;26576;792;
4230;1000;10463;11725;9890;1193745 ns;151;26576;792;
4240;1000;10463;11725;9890;1193745 ns;151;26576;792;
4250;1000;10463;11725;9890;1193745 ns;151;26576;792;
4260;1000;10463;11725;9890;1193745 ns;151;26576;792;
4270;1000;10549;12713;10816;1240155 ns;158;28017;1372;
4280;1000;10529;13162;11200;1310545 ns;164;28616;682;
4290;1000;10542;13364;11382;1313815 ns;165;28895;723;
4300;1000;10542;13364;11382;1313815 ns;165;28895;723;
4310;1000;10528;13530;11524;1316665 ns;166;29124;758;
