Fixed time simulation start ######################################
period_bakup_clks;vol_cntr1_val;vol_cntr_pa_val;framework_pa_val;data_save_pa_val;time;shtdwn_counter;clk_counter;trace_rom_addr;
26;215285 ns;27;4682;1121;2417;1650;1274;250;
28;222575 ns;28;5019;1212;2713;1663;1282;250;
30;187725 ns;22;3998;776;2204;1306;1004;250;
32;189595 ns;23;4177;800;2354;1322;1004;250;
34;190755 ns;23;4293;814;2483;1315;997;250;
36;208715 ns;26;4529;1039;2643;1370;1011;250;
38;190445 ns;23;4262;810;2531;1262;944;250;
40;185865 ns;22;3812;753;2284;1121;804;250;
42;185865 ns;22;3812;753;2332;1078;757;250;
44;187885 ns;22;4014;778;2525;1080;765;250;
46;192165 ns;24;4426;832;2846;1153;806;250;
48;185775 ns;22;3803;752;2451;990;665;250;
50;186515 ns;22;3877;761;2528;986;663;250;
52;186535 ns;22;3879;762;2548;968;645;250;
54;188095 ns;22;4035;781;2678;986;667;250;
56;184305 ns;21;3712;734;2462;910;601;250;
58;182985 ns;21;3580;717;2398;855;544;250;
60;182985 ns;21;3580;717;2421;840;527;250;
62;187575 ns;22;3983;775;2734;909;583;250;
64;187615 ns;22;3987;775;2760;894;567;250;
66;182715 ns;21;3553;714;2455;798;483;250;
68;184545 ns;21;3736;737;2617;820;505;250;
70;184585 ns;21;3740;737;2641;808;487;250;
72;184625 ns;21;3744;738;2675;787;460;250;
74;182715 ns;21;3553;714;2560;725;395;250;
76;181685 ns;20;3498;701;2567;674;361;250;
78;186045 ns;22;3830;755;2843;708;367;250;
80;190525 ns;23;4270;811;3199;772;423;250;
82;190545 ns;23;4272;812;3217;766;417;250;
84;187395 ns;22;3965;772;3017;690;348;250;
86;191915 ns;24;4401;829;3376;740;370;250;
88;216715 ns;27;4825;1139;3721;797;386;250;
90;216735 ns;27;4827;1139;3742;789;378;250;
92;217365 ns;27;4890;1147;3797;795;385;250;
94;216595 ns;27;4813;1137;3752;773;362;250;
96;217805 ns;27;4934;1152;3857;783;374;250;
98;217845 ns;27;4938;1153;3864;783;374;250;
100;217885 ns;27;4942;1153;3869;783;374;250;
102;209435 ns;26;4601;1048;3596;735;338;250;
104;209435 ns;26;4601;1048;3598;733;336;250;
106;209435 ns;26;4601;1048;3601;731;334;250;
108;209435 ns;26;4601;1048;3609;725;326;250;
